Date,City,City_Code,Capture_Timestamp,Capture_Label,Captured_At,Latitude,Longitude,Day_of_Week,Is_Weekend,Temperature_Max_C,Temperature_Min_C,Temperature_Mean_C,Apparent_Temperature_Max_C,Apparent_Temperature_Min_C,Precipitation_Sum_MM,Rain_Sum_MM,Precipitation_Hours,Wind_Speed_Max_KMH,Wind_Gusts_Max_KMH,Wind_Direction_Dominant_Deg,Weather_Code,Weather_Source,Holiday_Names,Holiday_Types,Holiday_Regions,Holiday_Sources,Is_Holiday,Slot_Temperature_C,Slot_Humidity_Percent,Slot_Precipitation_Probability_Percent,Slot_Wind_Speed_KMH,Slot_Weather_Code,Slot_Condition_Text,Capture_Source
2026-07-01,Mumbai,BOM,2026-07-01T09:00:00+05:30,morning,,19.076,72.8777,Wednesday,false,27.3,25.0,26.6,32.1,29.8,86.6,33.1,24.0,21.4,45.4,247,96,open-meteo-historical-forecast,,,,,false,26.9,91,100,13.0,80,slight_rain_showers,open-meteo-historical-hourly-backfill
2026-07-01,Mumbai,BOM,2026-07-01T17:00:00+05:30,late_afternoon,,19.076,72.8777,Wednesday,false,27.3,25.0,26.6,32.1,29.8,86.6,33.1,24.0,21.4,45.4,247,96,open-meteo-historical-forecast,,,,,false,27.2,88,100,20.1,95,thunderstorm,open-meteo-historical-hourly-backfill
2026-07-01,Delhi,DEL,2026-07-01T09:00:00+05:30,morning,,28.7041,77.1025,Wednesday,false,33.8,28.2,31.1,38.3,33.2,10.7,2.2,7.0,12.7,32.0,117,96,open-meteo-historical-forecast,,,,,false,30.2,71,49,6.7,3,overcast,open-meteo-historical-hourly-backfill
2026-07-01,Delhi,DEL,2026-07-01T17:00:00+05:30,late_afternoon,,28.7041,77.1025,Wednesday,false,33.8,28.2,31.1,38.3,33.2,10.7,2.2,7.0,12.7,32.0,117,96,open-meteo-historical-forecast,,,,,false,33.8,52,4,5.3,51,light_drizzle,open-meteo-historical-hourly-backfill
2026-07-01,Bengaluru,BLR,2026-07-01T09:00:00+05:30,morning,,12.9716,77.5946,Wednesday,false,25.8,20.5,22.7,25.7,21.5,1.1,1.0,7.0,23.5,56.5,250,51,open-meteo-historical-forecast,,,,,false,23.2,76,33,21.3,3,overcast,open-meteo-historical-hourly-backfill
2026-07-01,Bengaluru,BLR,2026-07-01T17:00:00+05:30,late_afternoon,,12.9716,77.5946,Wednesday,false,25.8,20.5,22.7,25.7,21.5,1.1,1.0,7.0,23.5,56.5,250,51,open-meteo-historical-forecast,,,,,false,25.1,66,49,20.9,3,overcast,open-meteo-historical-hourly-backfill
2026-07-01,Hyderabad,HYD,2026-07-01T09:00:00+05:30,morning,,17.385,78.4867,Wednesday,false,29.1,23.7,25.9,31.1,25.9,4.0,4.0,12.0,19.0,47.2,261,53,open-meteo-historical-forecast,,,,,false,24.5,88,62,13.2,53,moderate_drizzle,open-meteo-historical-hourly-backfill
2026-07-01,Hyderabad,HYD,2026-07-01T17:00:00+05:30,late_afternoon,,17.385,78.4867,Wednesday,false,29.1,23.7,25.9,31.1,25.9,4.0,4.0,12.0,19.0,47.2,261,53,open-meteo-historical-forecast,,,,,false,29.0,61,33,16.9,3,overcast,open-meteo-historical-hourly-backfill
2026-07-01,Chennai,MAA,2026-07-01T09:00:00+05:30,morning,,13.0827,80.2707,Wednesday,false,35.5,28.7,31.8,39.2,30.7,0.3,0.1,2.0,21.7,49.3,251,51,open-meteo-historical-forecast,,,,,false,31.6,56,0,18.1,3,overcast,open-meteo-historical-hourly-backfill
2026-07-01,Chennai,MAA,2026-07-01T17:00:00+05:30,late_afternoon,,13.0827,80.2707,Wednesday,false,35.5,28.7,31.8,39.2,30.7,0.3,0.1,2.0,21.7,49.3,251,51,open-meteo-historical-forecast,,,,,false,34.0,44,43,18.1,51,light_drizzle,open-meteo-historical-hourly-backfill
2026-07-01,Kolkata,CCU,2026-07-01T09:00:00+05:30,morning,,22.5726,88.3639,Wednesday,false,31.5,25.8,28.8,39.3,31.3,5.0,2.7,15.0,8.6,24.8,155,95,open-meteo-historical-forecast,,,,,false,29.6,84,65,6.3,51,light_drizzle,open-meteo-historical-hourly-backfill
2026-07-01,Kolkata,CCU,2026-07-01T17:00:00+05:30,late_afternoon,,22.5726,88.3639,Wednesday,false,31.5,25.8,28.8,39.3,31.3,5.0,2.7,15.0,8.6,24.8,155,95,open-meteo-historical-forecast,,,,,false,29.8,80,67,8.1,51,light_drizzle,open-meteo-historical-hourly-backfill
2026-07-01,Pune,PNQ,2026-07-01T09:00:00+05:30,morning,,18.5204,73.8567,Wednesday,false,27.1,22.6,23.9,29.8,25.0,26.6,17.7,24.0,20.7,43.2,252,95,open-meteo-historical-forecast,,,,,false,25.2,82,75,15.9,51,light_drizzle,open-meteo-historical-hourly-backfill
